[07/09/2025-21:40:33]	[PLACED]	[07/09/2025-21:40:33]	A charge has been placed!	 | HDSN_BreachingCharge, Position: <10659.395508, 6.705368, 2198.951416>, Target: BBP_LGate_T2 | Player: Boogahadeen [76561199205606578]
[07/09/2025-21:40:39]	[ARMED]		[07/09/2025-21:40:39]	A charge has been armed!	 | HDSN_BreachingCharge, Position: <10659.379883, 7.259992, 2197.737061>, Target: BBP_LGate_T2 | Player: Boogahadeen [76561199205606578]
[07/09/2025-21:43:39]	[EXPLODED]	[07/09/2025-21:43:39]	A charge has exploded!		 | HDSN_BreachingCharge, Position: <10659.379883, 7.259992, 2197.737061>, Target: BBP_LGate_T2, Damage done: 1 | Player: Boogahadeen [76561199205606578]
[07/09/2025-21:51:57]	[PLACED]	[07/09/2025-21:51:57]	A charge has been placed!	 | HDSN_BreachingCharge, Position: <10667.511719, 6.722192, 2204.799561>, Target: BBP_SGate_T2 | Player: Boogahadeen [76561199205606578]
[07/09/2025-21:53:11]	[PLACED]	[07/09/2025-21:53:11]	A charge has been placed!	 | HDSN_BreachingChargeHeavy, Position: <10658.061523, 6.650721, 2211.708984>, Target: BBP_LGate_T2 | Player: Boogahadeen [76561199205606578]
[07/09/2025-21:53:16]	[ARMED]		[07/09/2025-21:53:16]	A charge has been armed!	 | HDSN_BreachingChargeHeavy, Position: <10657.178711, 7.328177, 2212.680664>, Target: BBP_LGate_T2 | Player: Boogahadeen [76561199205606578]
[07/09/2025-21:53:23]	[ARMED]		[07/09/2025-21:53:23]	A charge has been armed!	 | HDSN_BreachingCharge, Position: <10666.602539, 7.344697, 2204.310303>, Target: BBP_SGate_T2 | Player: Boogahadeen [76561199205606578]
[07/09/2025-21:56:17]	[EXPLODED]	[07/09/2025-21:56:17]	A charge has exploded!		 | HDSN_BreachingChargeHeavy, Position: <10657.178711, 7.328177, 2212.680664>, Target: BBP_LGate_T2, Damage done: 2 | Player: Boogahadeen [76561199205606578]
[07/09/2025-21:56:17]	[DESTROYED]	[07/09/2025-21:56:17]	A target was destroyed!	 | HDSN_BreachingChargeHeavy, Position: <10657.178711, 7.328177, 2212.680664>, Target: BBP_LGate_T2 | Player: Boogahadeen [76561199205606578]
[07/09/2025-21:56:20]	[PLACED]	[07/09/2025-21:56:20]	A charge has been placed!	 | HDSN_BreachingCharge, Position: <10663.985352, 6.744902, 2205.706787>, Target: BBP_BDoor_T2_Door_T2 | Player: Boogahadeen [76561199205606578]
[07/09/2025-21:56:24]	[EXPLODED]	[07/09/2025-21:56:24]	A charge has exploded!		 | HDSN_BreachingCharge, Position: <10666.602539, 7.344697, 2204.310303>, Target: BBP_SGate_T2, Damage done: 1 | Player: Boogahadeen [76561199205606578]
[07/09/2025-21:56:31]	[ARMED]		[07/09/2025-21:56:31]	A charge has been armed!	 | HDSN_BreachingCharge, Position: <10664.413086, 7.196167, 2207.038818>, Target: BBP_BDoor_T2_Door_T2 | Player: Boogahadeen [76561199205606578]
[07/09/2025-21:59:09]	[PLACED]	[07/09/2025-21:59:09]	A charge has been placed!	 | HDSN_BreachingCharge, Position: <10652.311523, 6.755616, 2208.753174>, Target: BBP_LGate_T2 | Player: Boogahadeen [76561199205606578]
[07/09/2025-21:59:16]	[ARMED]		[07/09/2025-21:59:16]	A charge has been armed!	 | HDSN_BreachingCharge, Position: <10653.319336, 7.206118, 2209.882813>, Target: BBP_LGate_T2 | Player: Boogahadeen [76561199205606578]
[07/09/2025-21:59:32]	[EXPLODED]	[07/09/2025-21:59:32]	A charge has exploded!		 | HDSN_BreachingCharge, Position: <10664.413086, 7.196167, 2207.038818>, Target: BBP_BDoor_T2_Door_T2, Damage done: 1 | Player: Boogahadeen [76561199205606578]
[07/09/2025-22:02:15]	[PLACED]	[07/09/2025-22:02:15]	A charge has been placed!	 | HDSN_BreachingChargeHeavy, Position: <10664.208008, 6.610071, 2205.827637>, Target: BBP_BDoor_T2_Door_T2 | Player: Boogahadeen [76561199205606578]
[07/09/2025-22:02:16]	[EXPLODED]	[07/09/2025-22:02:16]	A charge has exploded!		 | HDSN_BreachingCharge, Position: <10653.319336, 7.206118, 2209.882813>, Target: BBP_LGate_T2, Damage done: 1 | Player: Boogahadeen [76561199205606578]
