06.09.2025 18:34:00 [Dayz-Dog] 'DayzDog.json' does not exist, creating default config
06.09.2025 18:50:39 [Dayz-Dog] 'DayzDog.json' found, loading existing config
06.09.2025 19:15:04 [Dayz-Dog] 'DayzDog.json' found, loading existing config
06.09.2025 19:36:15 [Dayz-Dog] 'DayzDog.json' found, loading existing config
06.09.2025 19:41:39 [Dayz-Dog] 'DayzDog.json' found, loading existing config
06.09.2025 19:51:48 [Dayz-Dog] 'DayzDog.json' found, loading existing config
06.09.2025 19:59:48 [Dayz-Dog] 'DayzDog.json' found, loading existing config
06.09.2025 20:05:33 [Dayz-Dog] 'DayzDog.json' found, loading existing config
06.09.2025 20:11:43 [Dayz-Dog] 'DayzDog.json' found, loading existing config
06.09.2025 20:16:43 [Dayz-Dog] Spawned Wild Dog at <0.000000, 0.000000, 0.000000>
06.09.2025 20:16:43 [Dayz-Dog] Spawned Wild Dog at <0.000000, 0.000000, 0.000000>
06.09.2025 20:16:47 [Dayz-Dog] Spawned Wild Dog at <4111.905762, 1.566264, 2193.932617>
06.09.2025 20:58:19 [Dayz-Dog] 'DayzDog.json' found, loading existing config
06.09.2025 21:54:59 [Dayz-Dog] 'DayzDog.json' found, loading existing config
06.09.2025 23:38:49 [Dayz-Dog] 'DayzDog.json' found, loading existing config
07.09.2025 00:42:16 [Dayz-Dog] 'DayzDog.json' found, loading existing config
07.09.2025 00:50:53 [Dayz-Dog] 'DayzDog.json' found, loading existing config
07.09.2025 01:07:06 [Dayz-Dog] 'DayzDog.json' found, loading existing config
07.09.2025 01:26:37 [Dayz-Dog] 'DayzDog.json' found, loading existing config
07.09.2025 01:40:52 [Dayz-Dog] 'DayzDog.json' found, loading existing config
07.09.2025 01:47:12 [Dayz-Dog] 'DayzDog.json' found, loading existing config
07.09.2025 11:48:52 [Dayz-Dog] 'DayzDog.json' found, loading existing config
07.09.2025 11:58:26 [Dayz-Dog] 'DayzDog.json' found, loading existing config
07.09.2025 12:01:13 [Dayz-Dog] 'DayzDog.json' found, loading existing config
07.09.2025 12:04:28 [Dayz-Dog] 'DayzDog.json' found, loading existing config
07.09.2025 12:07:07 [Dayz-Dog] 'DayzDog.json' found, loading existing config
07.09.2025 12:08:23 [Dayz-Dog] 'DayzDog.json' found, loading existing config
07.09.2025 12:12:07 [Dayz-Dog] 'DayzDog.json' found, loading existing config
07.09.2025 12:12:37 [Dayz-Dog] 'DayzDog.json' found, loading existing config
07.09.2025 12:24:09 [Dayz-Dog] 'DayzDog.json' found, loading existing config
07.09.2025 12:50:21 [Dayz-Dog] 'DayzDog.json' found, loading existing config
07.09.2025 12:56:36 [Dayz-Dog] 'DayzDog.json' found, loading existing config
07.09.2025 12:59:09 [Dayz-Dog] 'DayzDog.json' found, loading existing config
07.09.2025 13:37:46 [Dayz-Dog] 'DayzDog.json' found, loading existing config
07.09.2025 14:50:21 [Dayz-Dog] 'DayzDog.json' found, loading existing config
07.09.2025 16:45:37 [Dayz-Dog] 'DayzDog.json' found, loading existing config
07.09.2025 17:00:34 [Dayz-Dog] 'DayzDog.json' found, loading existing config
07.09.2025 17:12:03 [Dayz-Dog] 'DayzDog.json' found, loading existing config
07.09.2025 17:26:38 [Dayz-Dog] 'DayzDog.json' found, loading existing config
07.09.2025 17:46:57 [Dayz-Dog] 'DayzDog.json' found, loading existing config
07.09.2025 18:04:58 [Dayz-Dog] 'DayzDog.json' found, loading existing config
07.09.2025 18:43:00 [Dayz-Dog] 'DayzDog.json' found, loading existing config
07.09.2025 19:05:19 [Dayz-Dog] 'DayzDog.json' found, loading existing config
07.09.2025 19:05:32 [Dayz-Dog] 'DayzDog.json' found, loading existing config
07.09.2025 19:52:24 [Dayz-Dog] 'DayzDog.json' found, loading existing config
07.09.2025 20:13:01 [Dayz-Dog] 'DayzDog.json' found, loading existing config
07.09.2025 21:34:17 [Dayz-Dog] 'DayzDog.json' found, loading existing config
07.09.2025 23:32:26 [Dayz-Dog] 'DayzDog.json' found, loading existing config
07.09.2025 23:59:30 [Dayz-Dog] 'DayzDog.json' found, loading existing config
08.09.2025 00:22:18 [Dayz-Dog] 'DayzDog.json' found, loading existing config
08.09.2025 00:43:45 [Dayz-Dog] 'DayzDog.json' found, loading existing config
08.09.2025 01:25:02 [Dayz-Dog] 'DayzDog.json' found, loading existing config
08.09.2025 01:26:42 [Dayz-Dog] 'DayzDog.json' found, loading existing config
08.09.2025 01:27:58 [Dayz-Dog] 'DayzDog.json' found, loading existing config
08.09.2025 01:39:53 [Dayz-Dog] 'DayzDog.json' found, loading existing config
08.09.2025 01:49:43 [Dayz-Dog] 'DayzDog.json' found, loading existing config
08.09.2025 01:59:58 [Dayz-Dog] 'DayzDog.json' found, loading existing config
08.09.2025 02:09:15 [Dayz-Dog] 'DayzDog.json' found, loading existing config
08.09.2025 02:13:57 [Dayz-Dog] 'DayzDog.json' found, loading existing config
08.09.2025 02:22:55 [Dayz-Dog] 'DayzDog.json' found, loading existing config
08.09.2025 02:34:42 [Dayz-Dog] 'DayzDog.json' found, loading existing config
08.09.2025 02:48:04 [Dayz-Dog] 'DayzDog.json' found, loading existing config
08.09.2025 02:49:27 [Dayz-Dog] 'DayzDog.json' found, loading existing config
08.09.2025 02:53:42 [Dayz-Dog] Spawned Wild Dog at <0.000000, 0.000000, 0.000000>
08.09.2025 02:59:12 [Dayz-Dog] 'DayzDog.json' found, loading existing config
08.09.2025 03:03:00 [Dayz-Dog] Spawned Wild Dog at <0.000000, 0.000000, 0.000000>
08.09.2025 03:09:30 [Dayz-Dog] 'DayzDog.json' found, loading existing config
08.09.2025 03:11:22 [Dayz-Dog] 'DayzDog.json' found, loading existing config
08.09.2025 03:12:44 [Dayz-Dog] 'DayzDog.json' found, loading existing config
08.09.2025 03:16:04 [Dayz-Dog] 'DayzDog.json' found, loading existing config
08.09.2025 03:21:06 [Dayz-Dog] Spawned Wild Dog at <0.000000, 0.000000, 0.000000>
08.09.2025 03:21:06 [Dayz-Dog] Spawned Wild Dog at <0.000000, 0.000000, 0.000000>
08.09.2025 11:58:19 [Dayz-Dog] 'DayzDog.json' found, loading existing config
08.09.2025 12:24:41 [Dayz-Dog] 'DayzDog.json' found, loading existing config
08.09.2025 12:47:53 [Dayz-Dog] 'DayzDog.json' found, loading existing config
08.09.2025 13:00:58 [Dayz-Dog] 'DayzDog.json' found, loading existing config
08.09.2025 13:26:18 [Dayz-Dog] 'DayzDog.json' found, loading existing config
08.09.2025 14:54:55 [Dayz-Dog] 'DayzDog.json' found, loading existing config
09.09.2025 17:54:04 [Dayz-Dog] 'DayzDog.json' found, loading existing config
09.09.2025 18:28:04 [Dayz-Dog] 'DayzDog.json' found, loading existing config
09.09.2025 18:29:14 [Dayz-Dog] 'DayzDog.json' found, loading existing config
09.09.2025 18:33:02 [Dayz-Dog] Spawned Wild Dog at <0.000000, 0.000000, 0.000000>
09.09.2025 18:47:40 [Dayz-Dog] 'DayzDog.json' found, loading existing config
09.09.2025 18:51:47 [Dayz-Dog] 'DayzDog.json' found, loading existing config
09.09.2025 18:56:36 [Dayz-Dog] 'DayzDog.json' found, loading existing config
09.09.2025 18:57:52 [Dayz-Dog] 'DayzDog.json' found, loading existing config
09.09.2025 19:04:41 [Dayz-Dog] Spawned Wild Dog at <13361.267578, 7.388678, 6486.883301>
09.09.2025 19:14:35 [Dayz-Dog] 'DayzDog.json' found, loading existing config
09.09.2025 19:16:24 [Dayz-Dog] 'DayzDog.json' found, loading existing config
09.09.2025 19:25:02 [Dayz-Dog] 'DayzDog.json' found, loading existing config
09.09.2025 19:30:28 [Dayz-Dog] Spawned Wild Dog at <5963.018555, 3.553739, 1983.907227>
09.09.2025 19:43:20 [Dayz-Dog] 'DayzDog.json' found, loading existing config
09.09.2025 19:45:19 [Dayz-Dog] 'DayzDog.json' found, loading existing config
09.09.2025 19:48:09 [Dayz-Dog] 'DayzDog.json' found, loading existing config
09.09.2025 19:50:34 [Dayz-Dog] 'DayzDog.json' found, loading existing config
09.09.2025 19:55:03 [Dayz-Dog] Spawned Wild Dog at <5963.018555, 3.469593, 2033.907227>
09.09.2025 20:02:52 [Dayz-Dog] 'DayzDog.json' found, loading existing config
09.09.2025 20:08:29 [Dayz-Dog] 'DayzDog.json' found, loading existing config
09.09.2025 20:13:17 [Dayz-Dog] 'DayzDog.json' found, loading existing config
09.09.2025 20:16:07 [Dayz-Dog] 'DayzDog.json' found, loading existing config
09.09.2025 20:17:14 [Dayz-Dog] 'DayzDog.json' found, loading existing config
09.09.2025 20:31:04 [Dayz-Dog] 'DayzDog.json' found, loading existing config
09.09.2025 20:36:16 [Dayz-Dog] 'DayzDog.json' found, loading existing config
09.09.2025 23:23:21 [Dayz-Dog] 'DayzDog.json' found, loading existing config
09.09.2025 23:30:05 [Dayz-Dog] 'DayzDog.json' found, loading existing config
09.09.2025 23:55:45 [Dayz-Dog] 'DayzDog.json' found, loading existing config
10.09.2025 00:15:45 [Dayz-Dog] 'DayzDog.json' found, loading existing config
10.09.2025 00:52:41 [Dayz-Dog] 'DayzDog.json' found, loading existing config
10.09.2025 01:21:24 [Dayz-Dog] 'DayzDog.json' found, loading existing config
10.09.2025 01:30:06 [Dayz-Dog] 'DayzDog.json' found, loading existing config
10.09.2025 02:05:33 [Dayz-Dog] 'DayzDog.json' found, loading existing config
10.09.2025 02:14:45 [Dayz-Dog] 'DayzDog.json' found, loading existing config
10.09.2025 13:36:10 [Dayz-Dog] 'DayzDog.json' found, loading existing config
10.09.2025 16:29:14 [Dayz-Dog] 'DayzDog.json' found, loading existing config
10.09.2025 16:30:59 [Dayz-Dog] 'DayzDog.json' found, loading existing config
10.09.2025 16:33:16 [Dayz-Dog] 'DayzDog.json' found, loading existing config
10.09.2025 16:39:16 [Dayz-Dog] 'DayzDog.json' found, loading existing config
10.09.2025 16:44:12 [Dayz-Dog] 'DayzDog.json' found, loading existing config
10.09.2025 17:05:53 [Dayz-Dog] 'DayzDog.json' found, loading existing config
10.09.2025 17:17:46 [Dayz-Dog] 'DayzDog.json' found, loading existing config
10.09.2025 17:20:59 [Dayz-Dog] 'DayzDog.json' found, loading existing config
10.09.2025 17:28:18 [Dayz-Dog] 'DayzDog.json' found, loading existing config
10.09.2025 17:33:23 [Dayz-Dog] 'DayzDog.json' found, loading existing config
10.09.2025 17:34:37 [Dayz-Dog] 'DayzDog.json' found, loading existing config
10.09.2025 17:56:11 [Dayz-Dog] 'DayzDog.json' found, loading existing config
10.09.2025 18:03:10 [Dayz-Dog] 'DayzDog.json' found, loading existing config
10.09.2025 18:18:19 [Dayz-Dog] 'DayzDog.json' found, loading existing config
10.09.2025 19:10:20 [Dayz-Dog] 'DayzDog.json' found, loading existing config
10.09.2025 19:12:03 [Dayz-Dog] 'DayzDog.json' found, loading existing config
10.09.2025 19:14:40 [Dayz-Dog] 'DayzDog.json' found, loading existing config
10.09.2025 22:44:57 [Dayz-Dog] 'DayzDog.json' found, loading existing config
10.09.2025 23:34:03 [Dayz-Dog] 'DayzDog.json' found, loading existing config
10.09.2025 23:45:42 [Dayz-Dog] 'DayzDog.json' found, loading existing config
11.09.2025 00:00:27 [Dayz-Dog] 'DayzDog.json' found, loading existing config
11.09.2025 00:04:32 [Dayz-Dog] 'DayzDog.json' found, loading existing config
11.09.2025 00:07:21 [Dayz-Dog] 'DayzDog.json' found, loading existing config
11.09.2025 00:40:01 [Dayz-Dog] 'DayzDog.json' found, loading existing config
11.09.2025 00:51:25 [Dayz-Dog] 'DayzDog.json' found, loading existing config
11.09.2025 01:01:52 [Dayz-Dog] 'DayzDog.json' found, loading existing config
11.09.2025 01:38:38 [Dayz-Dog] 'DayzDog.json' found, loading existing config
11.09.2025 02:13:43 [Dayz-Dog] 'DayzDog.json' found, loading existing config
11.09.2025 15:19:27 [Dayz-Dog] 'DayzDog.json' found, loading existing config
11.09.2025 17:44:29 [Dayz-Dog] 'DayzDog.json' found, loading existing config
11.09.2025 18:04:43 [Dayz-Dog] 'DayzDog.json' found, loading existing config
11.09.2025 22:39:07 [Dayz-Dog] 'DayzDog.json' found, loading existing config
12.09.2025 11:44:55 [Dayz-Dog] 'DayzDog.json' found, loading existing config
12.09.2025 13:25:05 [Dayz-Dog] 'DayzDog.json' found, loading existing config
12.09.2025 14:39:31 [Dayz-Dog] 'DayzDog.json' found, loading existing config
12.09.2025 15:10:02 [Dayz-Dog] 'DayzDog.json' found, loading existing config
12.09.2025 19:26:15 [Dayz-Dog] 'DayzDog.json' found, loading existing config
