=========================Vanilla++ Admin Tools Session Logs=========================
Logs Started: 2025-3-17_23-1-34
====================================================================================
23:1:34 | [PermissionManager] Perm (DeleteObjectAtCrosshair) has been registered!
23:1:34 | [PermissionManager] Perm (TeleportToCrosshair) has been registered!
23:1:34 | [PermissionManager] Perm (FreeCamera) has been registered!
23:1:34 | [PermissionManager] Perm (RepairVehiclesAtCrosshair) has been registered!
23:1:34 | [PermissionManager] Perm (MenuItemManager) has been registered!
23:1:34 | [PermissionManager] Perm (MenuItemManager:SpawnItem) has been registered!
23:1:34 | [PermissionManager] Perm (MenuItemManager:EditPreset) has been registered!
23:1:34 | [PermissionManager] Perm (MenuItemManager:SpawnPreset) has been registered!
23:1:34 | [PermissionManager] Perm (MenuItemManager:DeletePreset) has been registered!
23:1:34 | [PermissionManager] Perm (MenuItemManager:AddPreset) has been registered!
23:1:34 | [PermissionManager] Perm (MenuServerManager) has been registered!
23:1:34 | [PermissionManager] Perm (ServerManager:RestartServer) has been registered!
23:1:34 | [PermissionManager] Perm (ServerManager:LockServer) has been registered!
23:1:34 | [PermissionManager] Perm (ServerManager:KickAllPlayers) has been registered!
23:1:34 | [PermissionManager] Perm (ServerManager:LoadScripts) has been registered!
23:1:34 | [PermissionManager] Perm (MenuWeatherManager) has been registered!
23:1:34 | [PermissionManager] Perm (WeatherManager:ApplyWeather) has been registered!
23:1:34 | [PermissionManager] Perm (WeatherManager:ApplyTime) has been registered!
23:1:34 | [PermissionManager] Perm (WeatherManager:SavePreset) has been registered!
23:1:34 | [PermissionManager] Perm (WeatherManager:DeletePreset) has been registered!
23:1:34 | [PermissionManager] Perm (WeatherManager:ApplyPreset) has been registered!
23:1:34 | [PermissionManager] Perm (WeatherManager:ApplyTimePreset) has been registered!
23:1:34 | [PermissionManager] Perm (WeatherManager:SaveTimePreset) has been registered!
23:1:34 | [PermissionManager] Perm (WeatherManager:DeleteTimePreset) has been registered!
23:1:34 | [PermissionManager] Perm (MenuObjectManager) has been registered!
23:1:34 | [PermissionManager] Perm (MenuObjectManager:CreateNewSet) has been registered!
23:1:34 | [PermissionManager] Perm (MenuObjectManager:UpdateSet) has been registered!
23:1:34 | [PermissionManager] Perm (MenuObjectManager:DeleteSet) has been registered!
23:1:34 | [PermissionManager] Perm (MenuObjectManager:EditSet) has been registered!
23:1:34 | [PermissionManager] Perm (MenuPermissionsEditor) has been registered!
23:1:34 | [PermissionManager] Perm (PermissionsEditor:RemoveUser) has been registered!
23:1:34 | [PermissionManager] Perm (PermissionsEditor:AddUser) has been registered!
23:1:34 | [PermissionManager] Perm (PermissionsEditor:CreateUserGroup) has been registered!
23:1:34 | [PermissionManager] Perm (PermissionsEditor:DeleteUserGroup) has been registered!
23:1:34 | [PermissionManager] Perm (PermissionsEditor:ChangePermLevel) has been registered!
23:1:34 | [PermissionManager] Perm (MenuPlayerManager) has been registered!
23:1:34 | [PermissionManager] Perm (PlayerManager:GiveGodmode) has been registered!
23:1:34 | [PermissionManager] Perm (PlayerManager:BanPlayer) has been registered!
23:1:34 | [PermissionManager] Perm (PlayerManager:KickPlayer) has been registered!
23:1:34 | [PermissionManager] Perm (PlayerManager:HealPlayers) has been registered!
23:1:34 | [PermissionManager] Perm (PlayerManager:SetPlayerStats) has been registered!
23:1:34 | [PermissionManager] Perm (PlayerManager:KillPlayers) has been registered!
23:1:34 | [PermissionManager] Perm (PlayerManager:GodMode) has been registered!
23:1:34 | [PermissionManager] Perm (PlayerManager:SpectatePlayer) has been registered!
23:1:34 | [PermissionManager] Perm (PlayerManager:TeleportToPlayer) has been registered!
23:1:34 | [PermissionManager] Perm (PlayerManager:TeleportPlayerTo) has been registered!
23:1:34 | [PermissionManager] Perm (PlayerManager:SetPlayerInvisible) has been registered!
23:1:34 | [PermissionManager] Perm (PlayerManager:SendMessage) has been registered!
23:1:34 | [PermissionManager] Perm (PlayerManager:GiveUnlimitedAmmo) has been registered!
23:1:34 | [PermissionManager] Perm (PlayerManager:MakePlayerVomit) has been registered!
23:1:34 | [PermissionManager] Perm (PlayerManager:FreezePlayers) has been registered!
23:1:34 | [PermissionManager] Perm (PlayerManager:ChangeScale) has been registered!
23:1:34 | [PermissionManager] Perm (MenuBansManager) has been registered!
23:1:34 | [PermissionManager] Perm (BansManager:UnbanPlayer) has been registered!
23:1:34 | [PermissionManager] Perm (BansManager:UpdateBanDuration) has been registered!
23:1:34 | [PermissionManager] Perm (BansManager:UpdateBanReason) has been registered!
23:1:34 | [PermissionManager] Perm (MenuWebHooks) has been registered!
23:1:34 | [PermissionManager] Perm (MenuWebHooks:Create) has been registered!
23:1:34 | [PermissionManager] Perm (MenuWebHooks:Edit) has been registered!
23:1:34 | [PermissionManager] Perm (MenuWebHooks:Delete) has been registered!
23:1:34 | [PermissionManager] Perm (MenuTeleportManager) has been registered!
23:1:34 | [PermissionManager] Perm (TeleportManager:ViewPlayerPositions) has been registered!
23:1:34 | [PermissionManager] Perm (TeleportManager:TPPlayers) has been registered!
23:1:34 | [PermissionManager] Perm (TeleportManager:TPSelf) has been registered!
23:1:34 | [PermissionManager] Perm (TeleportManager:DeletePreset) has been registered!
23:1:34 | [PermissionManager] Perm (TeleportManager:AddNewPreset) has been registered!
23:1:34 | [PermissionManager] Perm (TeleportManager:EditPreset) has been registered!
23:1:34 | [PermissionManager] Perm (TeleportManager:TeleportEntity) has been registered!
23:1:34 | [PermissionManager] Perm (EspToolsMenu) has been registered!
23:1:34 | [PermissionManager] Perm (EspToolsMenu:DeleteObjects) has been registered!
23:1:34 | [PermissionManager] Perm (EspToolsMenu:PlayerESP) has been registered!
23:1:34 | [PermissionManager] Perm (EspToolsMenu:RestPasscodeFence) has been registered!
23:1:34 | [PermissionManager] Perm (EspToolsMenu:RetriveCodeFromObj) has been registered!
23:1:34 | [PermissionManager] Perm (EspToolsMenu:PlayerMeshEsp) has been registered!
23:1:34 | [PermissionManager] Perm (EspToolsMenu:InstantBaseBuild) has been registered!
23:1:34 | [PermissionManager] Perm (MenuXMLEditor) has been registered!
23:1:34 | [PermissionManager] Perm (MenuCommandsConsole) has been registered!
23:1:34 | [PermissionManager] Adding Super Admin (76561199205606578)
23:1:34 | [PermissionManager] Loaded UserGroups.json
23:1:34 | [BansManager]:: Load(): Loading ban list Json File $profile:VPPAdminTools/BanList.json
23:1:34 | [PermissionManager] Perm (Chat:StripPlayer) has been registered!
23:1:34 | [PermissionManager] Perm (Chat:KillPlayer) has been registered!
23:1:34 | [PermissionManager] Perm (Chat:HealPlayer) has been registered!
23:1:34 | [PermissionManager] Perm (Chat:BringPlayer) has been registered!
23:1:34 | [PermissionManager] Perm (Chat:ReturnPlayer) has been registered!
23:1:34 | [PermissionManager] Perm (Chat:GotoPlayer) has been registered!
23:1:34 | [PermissionManager] Perm (Chat:UnbanPlayer) has been registered!
23:1:34 | [PermissionManager] Perm (Chat:TeleportToTown) has been registered!
23:1:34 | [PermissionManager] Perm (Chat:TeleportToPoint) has been registered!
23:1:34 | [PermissionManager] Perm (Chat:GiveAmmo) has been registered!
23:1:34 | [PermissionManager] Perm (Chat:SpawnInventory) has been registered!
23:1:34 | [PermissionManager] Perm (Chat:SpawnOnGround) has been registered!
23:1:34 | [PermissionManager] Perm (Chat:SpawnInHands) has been registered!
23:1:34 | [PermissionManager] Perm (Chat:SpawnCar) has been registered!
23:1:34 | [PermissionManager] Perm (Chat:refuelCar) has been registered!
23:1:34 | [WeatherManager] Loading Json File $profile:VPPAdminTools/ConfigurablePlugins/WeatherManager/WeatherSettingsPresets.json
23:1:34 | [TimeManager] Loading Json File $profile:VPPAdminTools/ConfigurablePlugins/TimeManager/TimeSettingsPresets.json
23:1:34 | Building Sets Loaded: 0
23:1:34 | [SteamAPIManager] WARNING couldn't fetch server IP from configs; using cURL...
23:1:34 | [SteamAPIManager] ERROR No steam API key configured, and or key is invalid.
23:14:23 | Player "Boogahadeen" (steamId=76561199205606578) connected to server!
23:17:34 | "Boogahadeen" (steamid=76561199205606578) gave godmode to (steamid=76561199205606578)
23:17:35 | "Boogahadeen" (steamid=76561199205606578) gave unlimited ammo to (steamid=76561199205606578)
23:17:37 | "Boogahadeen" (steamid=76561199205606578) just updated a health stat on (steamid=76561199205606578)
23:17:38 | "Boogahadeen" (steamid=76561199205606578) just updated a health stat on (steamid=76561199205606578)
23:17:38 | "Boogahadeen" (steamid=76561199205606578) just updated a health stat on (steamid=76561199205606578)
23:17:39 | "Boogahadeen" (steamid=76561199205606578) just updated a health stat on (steamid=76561199205606578)
23:17:39 | "Boogahadeen" (steamid=76561199205606578) just updated a health stat on (steamid=76561199205606578)
23:42:33 | [WeatherManager] Send Data Count is 0
23:43:19 | [WeatherManager] Send Data Count is 0
23:43:36 | [Time Manager] Setting Date to 2023/12/16 12:4612
23:55:7 | Player "Boogahadeen" (steamId=76561199205606578) initiated disconnect process...
23:57:0 | Player "Boogahadeen" (steamId=76561199205606578) connected to server!
23:57:55 | "Boogahadeen" (steamid=76561199205606578) Spawned Item: (ExpansionGyrocopter)
23:57:59 | "Boogahadeen" (steamid=76561199205606578) gave godmode to (steamid=76561199205606578)
23:58:0 | "Boogahadeen" (steamid=76561199205606578) gave unlimited ammo to (steamid=76561199205606578)
23:59:33 | "Boogahadeen" (steamid=76561199205606578) deleted objects using ESP
23:59:37 | "Boogahadeen" (steamid=76561199205606578) Spawned Item: (ExpansionGyrocopter)
0:1:24 | "Boogahadeen" (steamid=76561199205606578) Spawned Item: (Uncuepa_Shirt_Hawaiian2)
0:1:29 | "Boogahadeen" (steamid=76561199205606578) Spawned Item: (Uncuepa_Shirt_Hawaiian2)
0:5:32 | "Boogahadeen" (steamid=76561199205606578) deleted objects using ESP
0:6:6 | "Boogahadeen" (steamid=76561199205606578) Spawned Item: (ExpansionCowboyHatRattleSnake)
0:6:31 | "Boogahadeen" (steamid=76561199205606578) Spawned Item: (AviatorGlasses)
0:6:51 | "Boogahadeen" (steamid=76561199205606578) Spawned Item: (ExpansionGyrocopter)
0:6:54 | "Boogahadeen" (steamid=76561199205606578) Spawned Item: (ExpansionGyrocopter)
0:14:47 | "Boogahadeen" (steamid=76561199205606578) Spawned Item: (BO_SCARL_Black)
0:15:23 | "Boogahadeen" (steamid=76561199205606578) Spawned Item: (BO_Mag_SCARH_20rnd)
0:15:23 | "Boogahadeen" (steamid=76561199205606578) Spawned Item: (BO_Mag_SCARH_20rnd)
0:15:23 | "Boogahadeen" (steamid=76561199205606578) Spawned Item: (BO_Mag_SCARH_20rnd)
0:15:23 | "Boogahadeen" (steamid=76561199205606578) Spawned Item: (BO_Mag_SCARH_20rnd)
0:15:23 | "Boogahadeen" (steamid=76561199205606578) Spawned Item: (BO_Mag_SCARH_20rnd)
0:16:1 | "Boogahadeen" (steamid=76561199205606578) Spawned Item: (BO_SCARL_Black)
0:16:51 | "Boogahadeen" (steamid=76561199205606578) deleted objects using ESP
0:17:21 | "Boogahadeen" (steamid=76561199205606578) Spawned Item: (Snafu_ScarH_Tan_GUN)
0:17:25 | "Boogahadeen" (steamid=76561199205606578) Spawned Item: (Snafu_ScarH_25RND_Mag_Tan)
0:17:25 | "Boogahadeen" (steamid=76561199205606578) Spawned Item: (Snafu_ScarH_25RND_Mag_Tan)
0:17:25 | "Boogahadeen" (steamid=76561199205606578) Spawned Item: (Snafu_ScarH_25RND_Mag_Tan)
0:23:8 | "Boogahadeen" (steamid=76561199205606578) Spawned Item: (ExpansionGyrocopter)
0:24:38 | [WeatherManager] Send Data Count is 0
0:24:44 | [Time Manager] Setting Date to 2023/12/16 12:0
0:29:9 | "Boogahadeen" (steamid=76561199205606578) deleted objects using ESP
0:29:16 | "Boogahadeen" (steamid=76561199205606578) Spawned Item: (ExpansionGyrocopter)
0:36:40 | "Boogahadeen" (steamid=76561199205606578) Spawned Item: (BO_TheFix)
0:36:43 | "Boogahadeen" (steamid=76561199205606578) Spawned Item: (BO_TheFix_Optic)
0:36:44 | "Boogahadeen" (steamid=76561199205606578) Spawned Item: (BO_TheFix_Suppressor)
0:36:45 | "Boogahadeen" (steamid=76561199205606578) Spawned Item: (BO_Mag_TheFix_10rnd)
0:46:9 | Player "Phill_Swift" (steamId=76561199569546626) connected to server!
0:58:20 | "Boogahadeen" (steamid=76561199205606578) deleted objects using ESP
0:59:9 | "76561199205606578" (steamid=76561199205606578) teleported to (pos=<9417.280273, 24.790319, 2172.929932>)
0:59:9 | "Boogahadeen": (steamid=76561199205606578) teleported to (pos=9417.28,0,2172.93)
0:59:18 | Player "Phill_Swift" (steamId=76561199569546626) initiated disconnect process...
0:59:22 | Player "Phill_Swift" (steamId=76561199569546626) disconnected early from server (EXIT NOW).
1:5:41 | Player "Boogahadeen" (steamId=76561199205606578) initiated disconnect process...
